x0000,y0000
1118.,3866.6666666667
1119.,3706.6666666667
1120.,3910.
1121.,3736.6666666667
1122.,4020.
1123.,3646.6666666667
1124.,3786.6666666667
1125.,3753.3333333333
1126.,4046.6666666667
1127.,3960.
1128.,3930.
1129.,3986.6666666667
1130.,3770.
1131.,3450.
1132.,3616.6666666667
1133.,3620.
1134.,3933.3333333333
1135.,3900.
1136.,3756.6666666667
1137.,3723.3333333333
1138.,3913.3333333333
1139.,3886.6666666667
1140.,3940.
1141.,4180.
1142.,3800.
1143.,4140.
1144.,3973.3333333333
1145.,4053.3333333333
1146.,3773.3333333333
1147.,3770.
1148.,4040.
1149.,3906.6666666667
1150.,3920.
1151.,3990.
1152.,3886.6666666667
1153.,4033.3333333333
1154.,4073.3333333333
1155.,3816.6666666667
1156.,3880.
1157.,3903.3333333333
1158.,3710.
1159.,4326.6666666667
1160.,4046.6666666667
1161.,3926.6666666667
1162.,3943.3333333333
1163.,3756.6666666667
1164.,3996.6666666667
1165.,3783.3333333333
1166.,4073.3333333333
1167.,3923.3333333333
1168.,3896.6666666667
1169.,3710.
1170.,3910.
1171.,3873.3333333333
1172.,3676.6666666667
1173.,4100.
1174.,4053.3333333333
1175.,4183.3333333333
1176.,4206.6666666667
1177.,4020.
1178.,4266.6666666667
1179.,4046.6666666667
1180.,4030.
1181.,3936.6666666667
1182.,3840.
1183.,4083.3333333333
1184.,3843.3333333333
1185.,3976.6666666667
1186.,3760.
1187.,4096.6666666667
1188.,3903.3333333333
1189.,3826.6666666667
1190.,3703.3333333333
1191.,4090.
1192.,4280.
1193.,4080.
1194.,4200.
1195.,4266.6666666667
1196.,4340.
1197.,4386.6666666667
1198.,4353.3333333333
1199.,4660.
1200.,4500.
1201.,4480.
1202.,4450.
1203.,4483.3333333333
1204.,4376.6666666667
1205.,4406.6666666667
1206.,4320.
1207.,4380.
1208.,4173.3333333333
1209.,4143.3333333333
1210.,4416.6666666667
1211.,4353.3333333333
1212.,4230.
1213.,4380.
1214.,4223.3333333333
1215.,4656.6666666667
1216.,4380.
1217.,4800.
1218.,4713.3333333333
1219.,4653.3333333333
1220.,4486.6666666667
1221.,4730.
1222.,4736.6666666667
1223.,4586.6666666667
1224.,4396.6666666667
1225.,4330.
1226.,4513.3333333333
1227.,4476.6666666667
1228.,4326.6666666667
1229.,4500.
1230.,4950.
1231.,4460.
1232.,4486.6666666667
1233.,4340.
1234.,4806.6666666667
1235.,4913.3333333333
1236.,4510.
1237.,4726.6666666667
1238.,4726.6666666667
1239.,4430.
1240.,4543.3333333333
1241.,4290.
1242.,4540.
1243.,4466.6666666667
1244.,4720.
1245.,4590.
1246.,4790.
1247.,4323.3333333333
1248.,4713.3333333333
1249.,4756.6666666667
1250.,4516.6666666667
1251.,4646.6666666667
1252.,4570.
1253.,4660.
1254.,4526.6666666667
1255.,4393.3333333333
1256.,4413.3333333333
1257.,4133.3333333333
1258.,4526.6666666667
1259.,4380.
1260.,4373.3333333333
1261.,4363.3333333333
1262.,4370.
1263.,4216.6666666667
1264.,4766.6666666667
1265.,4553.3333333333
1266.,4280.
1267.,4483.3333333333
1268.,4486.6666666667
1269.,4383.3333333333
1270.,4376.6666666667
1271.,4470.
1272.,4270.
1273.,4306.6666666667
1274.,4150.
1275.,4150.
1276.,4326.6666666667
1277.,3926.6666666667
1278.,3966.6666666667
1279.,3916.6666666667
1280.,3943.3333333333
1281.,4063.3333333333
1282.,4293.3333333333
1283.,4383.3333333333
1284.,4276.6666666667
1285.,4540.
1286.,4413.3333333333
1287.,4286.6666666667
1288.,4280.
1289.,4400.
1290.,4403.3333333333
1291.,4503.3333333333
1292.,4363.3333333333
1293.,4183.3333333333
1294.,4473.3333333333
1295.,4103.3333333333
1296.,4280.
1297.,3910.
1298.,4090.
1299.,4193.3333333333
1300.,4026.6666666667
1301.,4003.3333333333
1302.,3806.6666666667
1303.,4163.3333333333
1304.,4230.
1305.,3960.
1306.,3926.6666666667
1307.,4043.3333333333
1308.,3793.3333333333
1309.,3810.
1310.,3983.3333333333
1311.,3946.6666666667
1312.,3980.
1313.,3830.
1314.,3856.6666666667
1315.,3950.
1316.,4213.3333333333
1317.,4090.
1318.,4200.
1319.,3980.
1320.,4243.3333333333
1321.,4326.6666666667
1322.,4103.3333333333
1323.,4273.3333333333
1324.,4123.3333333333
1325.,4060.
1326.,3800.
1327.,4130.
1328.,4200.
1329.,3933.3333333333
1330.,4136.6666666667
1331.,4026.6666666667
1332.,4086.6666666667
1333.,4433.3333333333
1334.,4196.6666666667
1335.,4303.3333333333
1336.,3953.3333333333
1337.,4153.3333333333
1338.,4100.
1339.,4310.
1340.,4163.3333333333
1341.,4153.3333333333
1342.,4033.3333333333
1343.,4090.
1344.,4386.6666666667
1345.,4030.
1346.,4416.6666666667
1347.,4183.3333333333
1348.,4216.6666666667
1349.,4250.
1350.,3990.
1351.,3886.6666666667
1352.,4490.
1353.,4306.6666666667
1354.,4670.
1355.,4310.
1356.,4260.
1357.,4286.6666666667
1358.,4010.
1359.,4410.
1360.,4080.
1361.,4133.3333333333
1362.,4503.3333333333
1363.,3993.3333333333
1364.,3910.
1365.,3933.3333333333
1366.,4086.6666666667
1367.,4263.3333333333
1368.,4013.3333333333
1369.,4070.
1370.,4100.
1371.,3880.
1372.,3963.3333333333
1373.,3956.6666666667
1374.,3890.
1375.,4040.
1376.,4033.3333333333
1377.,4150.
1378.,3976.6666666667
1379.,4153.3333333333
1380.,3980.
1381.,4070.
1382.,3990.
1383.,3763.3333333333
1384.,4100.
1385.,3753.3333333333
1386.,4066.6666666667
1387.,4016.6666666667
1388.,4080.
1389.,3840.
1390.,4293.3333333333
1391.,4213.3333333333
1392.,4126.6666666667
1393.,4196.6666666667
1394.,4203.3333333333
1395.,4370.
1396.,3780.
1397.,4020.
1398.,4193.3333333333
1399.,4120.
1400.,4156.6666666667
